RaterID,PrimaryRole,size
Rater001,Other CTSA Hub Staff,S
Rater002,Administrator,L
Rater003,Evaluator,M
Rater004,Evaluator,L
Rater005,NCATS Staff,__
Rater006,Evaluator,S
Rater007,Administrator,S
Rater008,Evaluator,S
Rater009,Evaluator,S
Rater010,Other CTSA Hub Staff,L
Rater011,Other CTSA Hub Staff,S
Rater012,Other CTSA Hub Staff,L
Rater013,Evaluator,S
Rater014,Evaluator,S
Rater015,Other (please specify below):,S
Rater016,Administrator,S
Rater017,TL1 PI,S
Rater018,NCATS Staff,__
Rater019,Administrator,L
Rater020,Administrator,S
Rater021,Evaluator,S
Rater022,Evaluator,S
Rater023,Evaluator,M
Rater024,Evaluator,S
Rater025,Evaluator,S
Rater026,NCATS Staff,__
Rater027,Other CTSA Hub Staff,M
Rater028,Administrator,M
Rater029,Evaluator,L
Rater030,Evaluator,S
Rater031,Evaluator,M
Rater032,NCATS Staff,__
Rater033,Community Partner,S
Rater034,Evaluator,L
Rater035,Evaluator,S
Rater036,Other CTSA Hub Staff,M
Rater037,Administrator,S
Rater038,Evaluator,L
Rater039,Other CTSA Hub Staff,L
Rater040,NCATS Staff,__
Rater041,Other (please specify below):,S
Rater042,Other CTSA Hub Staff,M
Rater043,UL1 PI,M
Rater044,Evaluator,M
Rater045,NCATS Staff,__
Rater046,Evaluator,L
Rater047,Administrator,S
Rater048,Evaluator,S
Rater049,Evaluator,S
Rater050,Administrator,L
Rater051,Evaluator,S
Rater052,Evaluator,L
Rater053,NCATS Staff,__
Rater054,Evaluator,S
Rater055,Other (please specify below):,S
Rater056,Administrator,S
Rater057,Other (please specify below):,S
Rater058,Evaluator,L
Rater059,Evaluator,S
Rater060,Administrator,S
Rater061,TL1 PI,S
Rater062,TL1 PI,S
Rater063,Other CTSA Hub Staff,L
Rater064,Evaluator,S
Rater065,Other (please specify below):,S
Rater066,Other CTSA Hub Staff,M
Rater067,Other (please specify below):,M
Rater068,Administrator,M
Rater069,NCATS Staff,__
Rater070,Other (please specify below):,L
Rater071,Other CTSA Hub Staff,M
Rater072,Evaluator,L
Rater073,Evaluator,S
Rater074,Evaluator,S
Rater075,Administrator,L
Rater076,Evaluator,S
Rater077,KL2 PI,S
Rater078,NCATS Staff,__
Rater079,Evaluator,L
Rater080,Evaluator,S
Rater081,Other CTSA Hub Staff,M
Rater082,Evaluator,L
Rater083,Evaluator,L
Rater084,Other CTSA Hub Staff,L
Rater085,Evaluator,L
Rater086,Evaluator,S
Rater087,Evaluator,S
Rater088,Evaluator,S
Rater089,Other CTSA Hub Staff,L
Rater090,Evaluator,S
Rater091,Evaluator,S
Rater092,Administrator,M
Rater093,Other CTSA Hub Staff,L
Rater094,Other (please specify below):,S
Rater095,Evaluator,M
Rater096,Evaluator,S
Rater097,UL1 PI,S
Rater098,Other (please specify below):,L
Rater099,NCATS Staff,__
Rater100,Evaluator,M
Rater101,Evaluator,L
