"StatementID","Statement"
1,"Number and type of patents or trademarks filed and/or received (e.g. IP data, implementation science etc.)"
2,"Number and type of trainings offered by Hub (e.g. courses, certificates, workshops, seminars, tracks, etc.)"
3,"Institutional collaboration and commitment to clinical and translational science research (e.g. number of projects and protocols, in-kind support, $ and personnel)"
4,"Number of pilot grants advancing to clinical trial proposals and/or awards"
5,"Median time to complete CTSA Hub-supported consultation and/or services (duration in days)"
6,"Number and type of measurable plans, policies or changes related to diversity, equity, and inclusion"
7,"Number and types of CTSA Hub interactions with state, local and public health entities"
8,"Qualitative data regarding how gender and racial diversity in clinical translational research can be achieved and/or what is needed"
9,"Number and types of new or ongoing collaborations with multiple CTSA Hubs and/or national consortium"
10,"Number and percent of pilot awardees overall and by relevant demographics (e.g. women and underrepresented populations )"
11,"For newly-emerging health crises requiring a rapid response: Number of CTSA-affiliated investigators publishing relevant results within X period of time (in months or years)"
12,"Relative familiarity with the term ""translational science"" among key indicator groups (healthcare providers, leaders of relevant community organizations and academic faculty in relevant fields)"
13,"Number and type of underrepresented populations in clinical trials tool"
14,"Number and type of CTSA Hub supported services with subsequent grants and/or publications cited"
15,"Number of different CTSA initiatives with a specific focus on greater than one of the following: quality, safety, efficiency and effectiveness of clinical research"
16,"Number, type, duration, and quality of Hub-supported community engagement services and tools"
17,"Number of datasets made discoverable as a result of Hub-supported Informatics resources"
18,"The collection of high-level success stories (e.g. novel approaches or collaborations, mitigating translational science roadblocks…)"
19,"Number and type of changes in promotion and tenure policy as the result of Hub activities"
20,"Number of Hub supported opportunities created for novel care approaches for clinical research participants relative to other regional providers"
21,"Cost per participant enrolled in NIH-supported clinical trials"
22,"Scientific interdisciplinarity as measured by number and type of Doctoral/MBA/MPH degree types, scientific areas, and/or collaborations between and support of various departments, in Hub-supported work"
23,"Return on investment (ROI): The timing and magnitude of expected total gains relative to the timing and magnitude of expected total costs"
24,"Systematic reviews and/or meta evaluation  (e.g. the Cochrane or Campbell Collaboration showing the reproducibility of results published in a discipline over a set time period )"
25,"Number and/or percent of Hub-supported Pilot projects with greater than one subsequent publication"
26,"Number of and satisfaction with formal mentors supported by the Hub"
27,"Types of research projects supported by Hub  (e.g. T1-T4, various disciplines)"
28,"Proportion of CTSA-affiliated investigators who request or receive CTSA Hub-supported materials in a language other than English"
29,"The use of Retrospective Case Studies"
30,"Number and type of active multi-center trials"
31,"Qualitative measures of Hub services quality (satisfaction, reliability, responsiveness)"
32,"Number and types of knowledge and/or skills attained by participants of trainings offered by Hubs"
33,"Number and type of new programs as a result of CTSA Hub activity (e.g. entrepreneurship, translational science.)"
34,"Number and types of collaborative research projects and collaborators within a CTSA Hub"
35,"Number and type of available infrastructure or resources for multi-site clinical trials per CTSA Hub (e.g. Access to underrepresented populations, Clinical Trials Management Systems/EHR, etc.)"
36,"Number and types of Hub collaborations with community members, advisors or partner agencies"
37,"CTSA Hub-level listing of scientific and operational innovations developed, demonstrated and disseminated"
38,"Number and type of actions generated from RPPR review within a CTSA Hub"
39,"Number of CTSA hub website page views  "
40,"Number and type of award-winning innovations developed at CTSA Hubs"
41,"Tracking Hub-supported research from one step to the next on the translational spectrum (T1, T2, T3…) via operational markers (e.g. first in human, clinical trial phases, FDA approval, etc.)"
42,"Number of FDA approvals received by CTSA Hubs"
43,"Qualitative data regarding community experiences with and perceptions of research (trust, community value, equity, researcher preparedness, and indicators of successful engagement) and perceptions of optimism regarding positive health outcomes"
